"dates","Total"
"28/02/2020","0"
"29/02/2020",
"01/03/2020",
"02/03/2020",
"03/03/2020",
"04/03/2020",
"05/03/2020",
"06/03/2020","0"
"07/03/2020",
"08/03/2020","0"
"09/03/2020",
"10/03/2020","<10"
"11/03/2020","<10"
"12/03/2020","<10"
"13/03/2020","<10"
"14/03/2020","<10"
"15/03/2020",
"16/03/2020","<10"
"17/03/2020","<10"
"18/03/2020","<10"
"19/03/2020","<10"
"20/03/2020","<10"
"21/03/2020","<10"
"22/03/2020","<10"
"23/03/2020","<10"
"24/03/2020","10"
"25/03/2020","12"
"26/03/2020","12"
"27/03/2020","12"
"28/03/2020","12"
"29/03/2020","12"
"30/03/2020","13"
"31/03/2020","15"
"01/04/2020","17"
"02/04/2020","17"
"03/04/2020","19"
"04/04/2020","19"
"05/04/2020","19"
"06/04/2020","21"
"07/04/2020","22"
"08/04/2020","22"
"09/04/2020","22"
"10/04/2020","22"
"11/04/2020","23"
"12/04/2020","23"
"13/04/2020","24"
"14/04/2020","25"
"15/04/2020","26"
"16/04/2020","27"
"17/04/2020","28"
"18/04/2020","28"
"19/04/2020","28"
"20/04/2020","28"
"21/04/2020","28"
"22/04/2020","31"
"23/04/2020","32"
"24/04/2020","32"
"25/04/2020","32"
"26/04/2020","32"
"27/04/2020","33"
"28/04/2020","33"
"29/04/2020","34"
"30/04/2020","34"
"01/05/2020","35"
"02/05/2020","36"
"03/05/2020","36"
"04/05/2020","36"
"05/05/2020","36"
"06/05/2020","36"
"07/05/2020","36"
"08/05/2020","37"
"09/05/2020","37"
"10/05/2020","37"
"11/05/2020","37"
"12/05/2020","37"
"13/05/2020","39"
"14/05/2020","40"
"15/05/2020","40"
"16/05/2020","42"
"17/05/2020","42"
"18/05/2020","42"
"19/05/2020","42"
"20/05/2020","42"
"21/05/2020","43"
"22/05/2020","44"
"23/05/2020","44"
"24/05/2020","44"
"25/05/2020","46"
"26/05/2020","46"
"27/05/2020","47"
"28/05/2020","49"
"29/05/2020","50"
"30/05/2020","52"
"31/05/2020","52"
"01/06/2020","52"
"02/06/2020","52"
"03/06/2020","52"
"04/06/2020","53"
"05/06/2020","54"
"06/06/2020","54"
"07/06/2020","54"
"08/06/2020","55"
"09/06/2020","57"
"10/06/2020","57"
"11/06/2020","57"
"12/06/2020","58"
"13/06/2020","58"
"14/06/2020","62"
"15/06/2020","65"
"16/06/2020","66"
"17/06/2020","67"
"18/06/2020","67"
"19/06/2020","70"
"20/06/2020","70"
"21/06/2020","73"
"22/06/2020","74"
"23/06/2020","77"
"24/06/2020","80"
"25/06/2020","85"
"26/06/2020","86"
"27/06/2020","89"
"28/06/2020","92"
"29/06/2020","97"
"30/06/2020","97"
"01/07/2020","100"
"02/07/2020","103"
"03/07/2020","105"
"04/07/2020","113"
"05/07/2020","118"
"06/07/2020","120"
"07/07/2020","123"
"08/07/2020","123"
"09/07/2020","130"
"10/07/2020","132"
